"","Image_name","ObjectNumber","Location_Center_X","Location_Center_Y","HLA.ABC","CD57","CD31","CD14","C.peptide","Nestin","Glucagon","pan.Keratin","CD11b","CD44","PDX.1","CD45","CD56","beta.Actin","Foxp3","CD4","NKX6.1","CD68","Somatostatin","CD20","CD8","CD99","CA2","NFkb","GnzB","Ki67","Collagen","CD3","p16","pS6","CD45RO","HLA.DR","PP","GHRL","DNA191","DNA193"
"cell_1295","NPOD6009_Head_ROI1",1295,85.9673913,153.5869565,0.8912896,0.15204352,0.09764864,1.0223616,0.13041664,0.18481152,0.36962304,6.673989632,9.000124416,0.5111808,0.36962304,0.35848192,0.34799616,4.7251456,1.7629184,0.60882944,0.09764864,0.57606144,0.39124992,0.15204352,0.42401792,5.7409536,0.33685504,0.24969216,0.16318464,0.021757952,0.4784128,0.59768832,1.6973824,1.7629184,0.22806528,0.33685504,0.28246016,0.30408704,35.652698112,68.65321984
"cell_1296","NPOD6009_Head_ROI1",1296,173.5625,151.46875,1.7301504,0.27066368,0.23986176,1.1993088,0.229376,0.229376,0.23986176,20.010696704,4.8562176,1.0289152,2.8573696,0.2916352,0.2916352,7.92723456,1.8874368,0.7274496,0.59375616,0.3538944,0.31260672,0.26017792,0.7602176,4.6071808,1.769472,1.3828096,0.15597568,0.07274496,0.50003968,0.61472768,1.4155776,0.9895936,0.16646144,0.4063232,0.30212096,0.19791872,56.886296576,104.939126784
"cell_1297","NPOD6009_Head_ROI1",1297,184.8897638,154.015748,1.1993088,0.27590656,0.13369344,1.0027008,0.17301504,0.13369344,0.34668544,3.801088,5.8851328,0.29949952,0.44105728,0.29949952,0.33882112,4.1549824,1.9464192,0.7012352,0.27590656,0.5668864,0.51183616,0.18087936,0.6619136,6.5536,0.2916352,0.22020096,0.17301504,0.09437184,1.3828096,0.6946816,3.2505856,3.178496,0.36241408,0.50397184,0.25165824,0.34668544,105.521283072,194.042331136
"cell_1298","NPOD6009_Head_ROI1",1298,393.3050847,152.9915254,1.2976128,0.16973824,0.2031616,1.8415616,0.27983872,0.16973824,0.27983872,1.5532032,2.0512768,0.3899392,0.18612224,0.35586048,0.3473408,9.669640192,1.5335424,0.8323072,0.1441792,12.695109632,0.46596096,0.17825792,0.58458112,3.7093376,0.17825792,0.23724032,0.15269888,0.025427968,2.4772608,0.61865984,2.78528,2.5165824,0.54263808,1.9726336,0.27983872,0.21168128,100.450697216,185.452003328
"cell_1299","NPOD6009_Head_ROI1",1299,506.6623377,153.2207792,1.2713984,0.23396352,0.3244032,1.8153472,0.3375104,0.31195136,0.59768832,4.4957696,4.9872896,0.16908288,0.19464192,0.14286848,0.54525952,6.922174464,2.12992,0.7929856,0.31195136,0.950272,0.44171264,0.09109504,0.8323072,7.026049024,0.28573696,0.15597568,0.24707072,0.064946176,2.3396352,0.8585216,1.3500416,3.2571392,0.29884416,0.9764864,0.28573696,0.41549824,49.078665216,92.157247488
"cell_1300","NPOD6009_Head_ROI1",1300,605,151.6133333,0.7995392,0.07995392,0.06684672,0.8912896,0.21364736,0.07995392,0.41353216,0.9043968,1.7629184,0.11993088,0.15990784,0.1998848,0.1998848,2.6279936,0.9568256,0.3997696,0.17301504,0.34668544,0.35979264,0.06684672,0.27983872,4.9610752,0.06684672,0.053346304,0.07995392,0.03997696,7.7201408,0.47972352,0.9306112,0.8912896,0.07995392,0.51970048,0.21364736,0.22675456,61.360963584,114.748424192
"cell_1301","NPOD6009_Head_ROI1",1301,839.1588785,153.8317757,0.851968,0.131072,0.14024704,0.7077888,0.3833856,0.14024704,0.47644672,4.5350912,8.691712,0.33619968,0.42991616,0.19595264,0.28049408,3.8797312,1.5335424,0.8192,0.21495808,0.51380224,0.26148864,0.1212416,0.57933824,5.767168,0.2523136,0.29884416,0.11206656,0.065404928,0.54198272,0.7012352,1.933312,1.409024,0.26148864,0.8126464,0.15859712,0.23396352,98.384674816,182.825254912
"cell_1302","NPOD6009_Head_ROI1",1302,894.7702703,153.1216216,1.0289152,0.13500416,0.20250624,0.9895936,0.3244032,0.17563648,0.35127296,2.2806528,4.718592,0.29753344,0.33816576,0.2162688,1.1862016,4.5809664,1.4876672,0.62193664,0.13500416,0.753664,0.48627712,0.28377088,0.39190528,4.2729472,0.17563648,0.36503552,0.12189696,0.08126464,2.8377088,0.7012352,1.2582912,1.0551296,0.17563648,0.29753344,0.23003136,0.16187392,86.83913216,159.543001088
"cell_1303","NPOD6009_Head_ROI1",1303,919.5061728,151.4444444,1.3959168,0.24707072,0.19726336,1.14688,0.22216704,0.27131904,0.35782656,11.555700736,4.0894464,1.4811136,2.3330816,0.17301504,0.35782656,5.5312384,1.2713984,0.49414144,0.46923776,0.43188224,0.4816896,0.22216704,0.46923776,3.8404096,1.5335424,1.5532032,0.07405568,0.03702784,0.22216704,0.6684672,1.5532032,0.753664,0.24707072,0.27131904,0.22216704,0.24707072,72.64305152,133.779816448
"cell_1304","NPOD6009_Head_ROI1",1304,945.0375,153.5625,0.884736,0.08126464,0.1376256,0.8650752,0.16252928,0.19398656,0.36241408,4.7579136,7.80009472,0.606208,0.25624576,0.1998848,0.24379392,3.4603008,1.4221312,0.475136,0.10027008,0.46268416,0.344064,0.131072,0.46268416,5.1511296,0.2064384,0.2064384,0.11272192,0.056229888,0.2752512,0.54984704,1.4155776,0.8781824,0.14352384,0.2752512,0.21889024,0.17498112,66.519760896,123.383119872
"cell_1305","NPOD6009_Head_ROI1",1305,971.9885057,151.2758621,1.1403264,0.23003136,0.114688,0.9764864,0.23003136,0.19529728,0.23003136,2.916352,5.5967744,0.34471936,0.34471936,0.16121856,0.64356352,4.2074112,1.5663104,0.6094848,0.20709376,0.64356352,0.40239104,0.057475072,0.49414144,5.24288,0.21823488,0.26411008,0.114688,0.0688128,0.7340032,0.7733248,2.0774912,1.2517376,0.26411008,1.8415616,0.24117248,0.23003136,104.3464192,197.451317248
"cell_1306","NPOD6009_Head_ROI1",1306,120.4295775,154.7887324,1.8153472,0.3801088,0.28901376,0.9437184,0.16908288,0.29556736,0.3309568,13.014269952,4.3319296,1.0289152,2.3199744,0.27459584,0.30277632,6.640959488,2.0578304,0.7012352,0.753664,0.44367872,0.28901376,0.21102592,0.6815744,3.8141952,0.917504,1.3959168,0.14811136,0.18284544,0.65470464,0.6815744,1.3303808,0.9437184,0.21102592,0.4227072,0.21823488,0.22544384,64.909410304,120.114511872
"cell_1307","NPOD6009_Head_ROI1",1307,241.3191489,152.8510638,1.0092544,0.20185088,0.11730944,1.0944512,0.22347776,0.10616832,0.20185088,3.2768,5.7475072,0.31916032,0.36175872,0.22347776,0.1277952,3.4275328,1.5204352,0.39387136,0.1703936,0.5210112,0.27656192,0.22347776,0.50003968,5.0003968,0.1277952,0.15925248,0.19136512,0.07471104,4.784128,0.5210112,1.6515072,4.58752,0.35127296,0.5210112,0.28704768,0.18087936,77.89477888,143.034089472
"cell_1308","NPOD6009_Head_ROI1",1308,314.2777778,151.4722222,1.1927552,0.08323072,0.055574528,3.0277632,0.08323072,0.16646144,0.1114112,0.44433408,0.638976,0.22216704,0.1114112,0.1114112,0.30539776,1.9136512,0.6946816,0.27787264,0.055574528,0.8912896,0.1114112,0.22216704,0.27787264,2.719744,0.055574528,0.055574528,0.027787264,0,14.555807744,0.47251456,0.33357824,0.6684672,0.44433408,7.250116608,0.16646144,0.30539776,84.334608384,153.919029248
"cell_1309","NPOD6009_Head_ROI1",1309,345.1849315,155.3972603,1.933312,0.34930688,0.19202048,1.2058624,0.21889024,0.2326528,0.31522816,11.397431296,2.7328512,0.8585216,4.784128,0.3014656,0.20578304,7.020675072,1.9267584,0.63045632,1.0944512,0.8192,0.36306944,0.18481152,0.57540608,2.1561344,1.0747904,2.6017792,0.1507328,0.9371648,0.50003968,0.6094848,1.9267584,0.58916864,0.3080192,1.1206656,0.28770304,0.17104896,136.796635136,253.860052992
"cell_1310","NPOD6009_Head_ROI1",1310,427.0865385,153.25,1.0878976,0.1343488,0.21168128,1.5990784,0.21168128,0.1540096,0.2981888,3.6896768,3.2899072,0.2883584,0.2883584,0.24969216,0.38469632,5.472256,2.1168128,0.54788096,0.16318464,0.9437184,0.46137344,0.1441792,0.5963776,4.882432,0.21168128,0.33685504,0.17301504,0.038469632,1.4811136,1.0223616,2.1561344,1.5990784,0.24051712,1.8546688,0.3080192,0.2883584,83.26086656,160.781303808
"cell_1311","NPOD6009_Head_ROI1",1311,449.1884058,153.2463768,0.9437184,0.13041664,0.18808832,1.0747904,0.15925248,0.13041664,0.376832,2.260992,3.1326208,0.15925248,0.49283072,0.1736704,0.2031616,3.9124992,1.6252928,0.53608448,0.13041664,0.7274496,0.13041664,0.18808832,0.39124992,3.4930688,0.08716288,0.26083328,0.14483456,0.043450368,0.49283072,0.6815744,2.62144,1.2058624,0.2752512,0.33357824,0.23199744,0.2031616,123.248246784,229.075976192
"cell_1312","NPOD6009_Head_ROI1",1312,482.3571429,152.952381,3.2374784,0.33357824,0.59506688,0.8126464,0.30932992,3.047424,0.30932992,4.784128,1.9791872,0.40501248,2.2872064,0.21430272,0.50003968,6.0030976,1.5925248,0.64290816,0.8585216,0.59506688,0.38076416,0.19070976,0.54788096,5.0266112,0.6684672,1.2386304,0,0.047644672,2.1430272,0.7143424,1.1206656,0.7602176,0.262144,1.31072,0.57147392,0.19070976,53.977022464,98.120564736
"cell_1313","NPOD6009_Head_ROI1",1313,515.8541667,152.9791667,1.3041664,0.12517376,0.15597568,0.8978432,0.27066368,0.24969216,0.56229888,2.0512768,2.9556736,0.24969216,0.33357824,0.33357824,0.45809664,4.1877504,2.1037056,0.6684672,0.229376,0.6684672,0.32309248,0.20840448,0.62521344,3.5651584,0.12517376,0.41680896,0.08323072,0.062521344,2.0119552,0.8454144,2.4772608,1.6121856,0.32309248,0.50003968,0.16646144,0.2916352,108.78287872,200.857223168
"cell_1314","NPOD6009_Head_ROI1",1314,545.28125,153.0859375,2.326528,0.21102592,0.31260672,1.6580608,0.39059456,0.12517376,0.49217536,5.1970048,6.5339392,1.9136512,0.4063232,0.54657024,0.38273024,9.929818112,2.064384,0.7077888,0.32047104,3.735552,0.344064,0.21889024,0.6946816,4.7710208,0.24969216,0.31260672,0.3047424,0.56229888,0.48431104,0.7995392,1.3303808,1.572864,0.7471104,4.5613056,0.2424832,0.2424832,53.266415616,96.087375872
"cell_1315","NPOD6009_Head_ROI1",1315,671.2264151,152.490566,1.048576,0.27328512,0.14155776,2.1102592,0.21692416,0.16973824,0.311296,4.0108032,7.990673408,0.59441152,0.40566784,0.2359296,0.32047104,4.358144,1.7170432,0.6684672,0.14155776,0.4718592,0.56623104,0.1507328,0.34930688,4.521984,0.16973824,0.28311552,0.04718592,0.09437184,0.6684672,0.7274496,1.4876672,1.6384,0.17956864,0.44367872,0.18874368,0.21692416,72.859582464,133.926551552
"cell_1316","NPOD6009_Head_ROI1",1316,682.6842105,152.122807,1.5597568,0.12255232,0.17563648,0.9633792,0.21037056,0.15794176,0.42074112,4.4040192,4.7382528,0.8060928,0.61407232,0.15794176,0.2981888,5.0003968,1.6318464,0.6684672,0.14024704,0.56164352,0.45613056,0.19267584,0.5963776,6.422528,0.38600704,0.3506176,0.10551296,0.03506176,0.61407232,0.8388608,1.6515072,1.8612224,0.17563648,0.7340032,0.31588352,0.22806528,55.071014912,104.492826624
"cell_1317","NPOD6009_Head_ROI1",1317,781.5428571,152.9714286,2.4313856,0.1572864,0.8126464,1.4155776,0.24313856,2.0447232,0.3145728,2.6148864,3.5454976,0.37158912,0.17170432,0.21430272,0.3997696,5.0003968,1.2255232,0.57147392,0.1572864,1.1010048,0.24313856,0.14286848,0.50003968,4.5154304,0.17170432,0.54263808,0.14286848,0.12845056,2.2872064,0.54263808,1.5597568,1.5138816,0.17170432,0.8585216,0.41418752,0.28573696,95.258607616,174.988394496
"cell_1318","NPOD6009_Head_ROI1",1318,792.625,153.21875,3.9059456,0.29687808,1.0289152,3.5782656,0.344064,1.343488,0.28114944,0.8585216,1.5466496,0.32833536,0.2031616,0.344064,0.09371648,10.84391424,1.8153472,1.31072,0.21889024,6.3766528,0.4063232,0.2031616,0.4063232,4.5940736,0.37486592,0.54657024,0.07798784,0.12517376,2.719744,0.50003968,1.5925248,6.1079552,0.59375616,17.797152768,0.59375616,0.29687808,107.376607232,195.98737408
"cell_1319","NPOD6009_Head_ROI1",1319,863.141844,152.8156028,0.8126464,0.16318464,0.1277952,0.6815744,0.3047424,0.16318464,0.39714816,3.7748736,6.1341696,0.1703936,0.50331648,0.262144,0.27656192,4.0501248,1.5335424,0.6946816,0.18415616,0.8781824,0.3473408,0.1703936,0.4325376,4.1746432,0.1703936,0.28377088,0.12058624,0.09961472,0.41811968,0.720896,1.867776,1.2713984,0.31195136,0.58130432,0.31916032,0.32636928,93.412786176,172.94589952
"cell_1320","NPOD6009_Head_ROI1",1320,980.4375,153.5416667,0.9699328,0.18743296,0.15597568,0.9568256,0.20840448,1.2910592,0.27066368,3.0343168,16.604397568,0.3538944,0.45809664,0.20840448,0.65536,4.1549824,1.769472,0.720896,0.21889024,0.6750208,0.44761088,0.14614528,0.6356992,4.1025536,0.26017792,0.18743296,0.14614528,0.08323072,0.4063232,0.950272,1.4483456,1.96608,0.27066368,0.688128,0.37486592,0.229376,74.803249152,134.78330368
"cell_1321","NPOD6009_Head_ROI1",1321,304.8,149.4,2.2020096,0,0,0.60030976,0,0,0,0,0.1998848,0,0,0.60030976,0.1998848,3.0015488,0.3997696,0,0.1998848,0,0.1998848,0,4.2008576,6.0030976,0.1998848,0.1998848,0,0,12.20018176,1.0027008,0.3997696,0,0.3997696,0.1998848,0,0,54.600859648,102.00154112
"cell_1322","NPOD6009_Head_ROI1",1322,365.9375,151.6875,1.0944512,0.12517376,0.24969216,0.8126464,0.24969216,0.12517376,0.37486592,2.6279936,2.1233664,0.18743296,0.12517376,0.12517376,0.4685824,3.8731776,1.1534336,0.65536,0.18743296,1.8153472,0.09371648,0.062521344,0.43778048,4.4367872,0.09371648,0.062521344,0.062521344,0.062521344,5.0331648,0.50003968,2.5624576,2.3724032,0.344064,0.31260672,0.15597568,0.15597568,68.469784576,128.658243584
"cell_1323","NPOD6009_Head_ROI1",1323,633.7264957,154.6581197,2.424832,0.2818048,0.2818048,7.299268608,0.3080192,0.36765696,0.53018624,10.769399808,2.1102592,0.62390272,3.3619968,0.7798784,0.20512768,12.33354752,2.29376,0.786432,0.851968,3.1260672,0.49545216,0.32505856,0.53018624,2.9425664,0.9633792,1.7104896,0.14548992,0.042729472,7.000096768,0.7929856,2.5034752,4.1877504,0.8323072,5.2363264,0.33357824,0.21364736,124.318121984,226.977841152
"cell_1324","NPOD6009_Head_ROI1",1324,770.8969072,153.2474227,0.8585216,0.16515072,0.12386304,0.9043968,0.48431104,0.1343488,0.47448064,4.4826624,4.8037888,0.19595264,0.38141952,0.17498112,0.31981568,3.3292288,1.441792,0.47448064,0.15466496,0.786432,0.26804224,0.1441792,0.4947968,4.3188224,0.16515072,0.15466496,0.1343488,0.0720896,0.54657024,0.58785792,2.4510464,1.0027008,0.31981568,0.50528256,0.26804224,0.29884416,103.78510336,193.590591488
"cell_1325","NPOD6009_Head_ROI1",1325,799.3953488,155.3023256,1.6973824,0.32571392,0.34865152,1.7891328,0.16252928,0.16252928,0.2326528,11.604852736,3.7879808,1.048576,1.7235968,0.37224448,0.30212096,6.094848,1.4155776,0.8126464,0.55836672,0.9043968,0.37224448,0.2326528,0.55836672,3.6962304,1.0682368,0.8126464,0.09306112,0.20905984,1.0682368,0.55836672,1.212416,2.8377088,0.2555904,2.1168128,0.34865152,0.2555904,72.69875712,133.908987904
"cell_1326","NPOD6009_Head_ROI1",1326,132.1290323,154.6612903,1.8087936,0.38731776,0.1933312,1.245184,0.29032448,0.35454976,0.4194304,18.097045504,7.193690112,1.3238272,2.0774912,0.30670848,0.12910592,7.548502016,2.6148864,0.8716288,0.46792704,0.35454976,0.37093376,0.35454976,0.4358144,5.7606144,1.3697024,0.9043968,0.16121856,0.09699328,0.6619136,0.7274496,1.179648,0.59703296,0.2097152,0.54853632,0.12910592,0.29032448,44.000673792,79.807643648
"cell_1327","NPOD6009_Head_ROI1",1327,151.6875,153.375,2.3134208,0.31260672,1.5007744,1.31072,0.43778048,1.9398656,0.24969216,11.125194752,5.373952,1.2517376,1.1272192,0.43778048,0.18743296,7.500136448,1.2517376,0.7471104,0.24969216,0.24969216,0.31260672,0.37486592,0.688128,7.187595264,1.4352384,0.50003968,0,0.062521344,2.3134208,1.1272192,0.8126464,2.2478848,0.062521344,1.376256,0.31260672,0.12517376,18.500288512,40.50059264
"cell_1328","NPOD6009_Head_ROI1",1328,160.6351351,156.3378378,1.3959168,0.23003136,0.23003136,0.8650752,0.12845056,0.27000832,0.2097152,8.013611008,3.6438016,0.45940736,1.5466496,0.23658496,0.8585216,5.2690944,1.867776,0.6815744,0.47972352,0.47972352,0.2228224,0.15532032,0.6488064,5.3542912,0.8978432,0.720896,0.16187392,0.1081344,3.0867456,0.50659328,1.3369344,1.5335424,0.17563648,0.48627712,0.24313856,0.27000832,66.338881536,118.995091456
"cell_1329","NPOD6009_Head_ROI1",1329,325.0991736,155.4214876,0.8781824,0.1900544,0.1900544,1.0682368,0.13238272,0.18153472,0.31391744,5.537792,5.6295424,0.21495808,0.52035584,0.23134208,0.31391744,4.2991616,1.736704,0.57868288,0.2064384,0.6750208,0.51249152,0.13238272,0.48758784,5.0397184,0.1900544,0.27262976,0.06619136,0.033030144,1.0747904,0.7012352,1.8481152,4.0435712,0.2064384,0.42991616,0.18153472,0.24772608,71.89364736,132.03505152
"cell_1330","NPOD6009_Head_ROI1",1330,371.0327869,155.3606557,0.8192,0.212992,0.212992,0.8192,0.147456,0.16384,0.278528,5.013504,6.1997056,0.196608,0.6750208,0.212992,0.360448,5.4591488,1.8874368,0.8716288,0.212992,0.8388608,0.344064,0.098304,0.65536,6.4749568,0.180224,0.376832,0.065536,0.065536,0.62324736,0.98304,3.211264,2.359296,0.212992,0.57409536,0.311296,0.425984,83.853770752,158.707351552
"cell_1331","NPOD6009_Head_ROI1",1331,581,155.6376812,1.1010048,0.043450368,0.2031616,0.9109504,0.15925248,0.14483456,0.30408704,2.7656192,7.884177408,0.52166656,0.28966912,0.26083328,0.31916032,3.8404096,1.376256,0.56492032,0.15925248,0.6520832,0.15925248,0.07274496,0.376832,4.7382528,0.31916032,0.2752512,0.14483456,0.043450368,1.4614528,0.7077888,3.7814272,2.392064,0.14483456,0.60882944,0.24641536,0.30408704,112.422027264,204.6263296
"cell_1332","NPOD6009_Head_ROI1",1332,589.8214286,153.3392857,1.3369344,0.14286848,0.1605632,0.9633792,0.10682368,0.10682368,0.50003968,2.0512768,1.0878976,1.4286848,2.162688,0.14286848,0.196608,2.8901376,1.2320768,0.44630016,0.41091072,0.6946816,0.42860544,0.08912896,0.3571712,1.9267584,0.8060928,2.1102592,0.03571712,0,4.2336256,0.41091072,1.2320768,0.7340032,0.26804224,1.2648448,0.10682368,0.08912896,94.519296,180.270596096
"cell_1333","NPOD6009_Head_ROI1",1333,829.6956522,157.384058,1.2582912,0.18808832,0.18087936,0.9371648,0.7995392,0.32636928,0.52166656,3.6765696,4.5744128,0.44171264,0.33357824,0.18087936,2.3003136,3.9124992,1.5532032,0.50724864,0.16646144,0.7012352,0.33357824,0.15204352,0.36962304,6.724714496,0.15204352,0.1376256,0.08716288,0.06520832,1.5532032,0.57278464,1.7760256,1.6908288,0.2031616,0.44957696,0.2752512,0.34799616,88.827428864,164.125671424
"cell_1334","NPOD6009_Head_ROI1",1334,77.84782609,156.4130435,0.9371648,0.1736704,0.21757952,0.8060928,0.10878976,0.13041664,0.15204352,4.8889856,8.326217728,0.28246016,0.36962304,0.10878976,0.19595264,4.9348608,2.1757952,0.7405568,0.21757952,0.6520832,0.4128768,0.21757952,0.45678592,6.608781312,0.56492032,0.1736704,0.21757952,0.06520832,2.850816,0.8257536,1.4352384,1.9136512,0.43450368,0.2392064,0.28246016,0.21757952,34.087501824,64.044466176
"cell_1335","NPOD6009_Head_ROI1",1335,223.5,156.5465116,1.7104896,0.19791872,0.16252928,7.023362048,0.26738688,0.1277952,0.20905984,0.30212096,0.9633792,0.13959168,0.11599872,0.34865152,0.09306112,7.221018624,1.2320768,0.8716288,0.19791872,5.6492032,0.24444928,0.15138816,0.44171264,3.244032,0.20905984,0.09306112,0,0.058130432,11.465261056,0.42991616,1.3828096,1.0354688,0.56950784,5.1380224,0.15138816,0.19791872,86.222241792,159.304777728
"cell_1336","NPOD6009_Head_ROI1",1336,260.0970874,156.5533981,1.5335424,0.31064064,0.19398656,1.14688,0.22347776,0.2719744,0.2818048,9.456451584,8.3787776,0.49545216,4.6792704,0.38862848,0.19398656,6.2455808,1.8808832,0.524288,1.2910592,0.49545216,0.18415616,0.12648448,0.5341184,1.048576,1.4876672,3.047424,0.18415616,0.10682368,1.2845056,0.56295424,1.9791872,2.1364736,0.33030144,0.2523136,0.22347776,0.13565952,121.836797952,226.003451904
"cell_1337","NPOD6009_Head_ROI1",1337,477.0083333,157.925,0.950272,0.24182784,0.12517376,1.1010048,0.24182784,0.21692416,0.31653888,4.5481984,3.5192832,1.3697024,0.65011712,0.19136512,0.23330816,5.0331648,2.0250624,0.63307776,0.3080192,0.63307776,0.475136,0.22478848,0.6946816,4.3974656,0.3080192,0.49152,0.24182784,0.050003968,0.42532864,0.917504,2.7066368,1.5859712,0.37486592,0.46661632,0.1998848,0.25821184,119.751835648,224.536756224
"cell_1338","NPOD6009_Head_ROI1",1338,573.9482759,155.1206897,0.7602176,0.15532032,0.1376256,0.8126464,0.17235968,0.15532032,0.41353216,3.014656,3.964928,0.32768,0.36175872,0.22413312,0.32768,3.9452672,1.605632,0.4653056,0.24117248,0.8454144,0.34471936,0.08650752,0.37945344,4.1353216,0.34471936,0.22413312,0.1376256,0.10354688,2.5362432,0.51707904,2.5493504,1.0682368,0.27590656,0.41353216,0.18939904,0.24117248,117.156937728,213.675671552
"cell_1339","NPOD6009_Head_ROI1",1339,693.1326531,156.2959184,0.950272,0.15335424,0.0917504,0.622592,0.2654208,0.21430272,0.32636928,3.0932992,3.2636928,0.14286848,0.34668544,0.12255232,0.30605312,4.6661632,1.1665408,0.6324224,0.11206656,0.46923776,0.46923776,0.11206656,0.32636928,4.0828928,0.28573696,0.1835008,0.08192,0.051052544,0.6324224,0.4489216,1.8284544,0.9699328,0.15335424,0.40828928,0.2752512,0.21430272,77.113393152,147.430834176
"cell_1340","NPOD6009_Head_ROI1",1340,879.5,151,1.998848,0,0,1.5007744,1.0027008,0,1.5007744,1.5007744,5.0003968,0.50003968,0.50003968,0.50003968,0,6.0030976,5.4984704,0,0,1.5007744,0.50003968,0,0,4.5023232,0.50003968,0,0,0,3.997696,0.50003968,0,1.0027008,0,3.4996224,1.0027008,0.50003968,8.500150272,11.000152064
"cell_1341","NPOD6009_Head_ROI1",1341,42.77192982,155.754386,1.8087936,0.22806528,0.49152,1.0354688,0.24576,0.63176704,0.22806528,1.9857408,5.0528256,11.894915072,0.36831232,0.26345472,0.8388608,3.8076416,1.2976128,0.7012352,0.26345472,0.42074112,0.753664,0.14024704,0.61407232,5.5443456,0.24576,0.36831232,0.28049408,0.017563648,1.7891328,0.5963776,1.5466496,1.5269888,0.22806528,1.8087936,0.26345472,0.2981888,68.509827072,123.87909632
"cell_1342","NPOD6009_Head_ROI1",1342,95.53763441,157.5806452,0.9568256,0.21495808,0.21495808,1.0551296,0.18284544,0.25821184,0.38731776,6.569984,6.914113536,0.44105728,0.46268416,0.27983872,0.45154304,4.7972352,1.8481152,0.9699328,0.25821184,0.45154304,0.5373952,0.10747904,0.5373952,4.8627712,0.1933312,0.33357824,0.16121856,0.032243712,0.7340032,0.9371648,1.1927552,1.1403264,0.27983872,0.52690944,0.25821184,0.35454976,46.398570496,84.85076992
"cell_1343","NPOD6009_Head_ROI1",1343,211.0243902,156.6707317,1.1206656,0.17104896,0.06094848,0.9895936,0.14614528,0.15859712,0.20709376,4.1222144,6.2193664,1.1075584,0.51249152,0.17104896,0.29294592,4.3515904,1.5335424,0.63438848,0.23199744,1.0747904,0.15859712,0.048758784,0.51249152,4.2532864,0.37814272,0.23199744,0.12189696,0.024379392,2.0250624,0.59768832,2.1364736,1.8415616,0.40239104,0.32899072,0.14614528,0.23199744,85.0378752,160.343916544
"cell_1344","NPOD6009_Head_ROI1",1344,232.6981132,156.5849057,0.8650752,0.09437184,0.056623104,1.7563648,0.0753664,0.037748736,0.056623104,0.24510464,0.33947648,0.037748736,0.32047104,0.11337728,0.26411008,1.8087936,0.35848192,0.26411008,0.018874368,1.1337728,0.0753664,0.037748736,0.2260992,2.7328512,0.09437184,0.09437184,0.0753664,0.20774912,10.868097024,0.11337728,1.3565952,0.52822016,0.11337728,0.7929856,0.13238272,0.1507328,72.189804544,135.66246912
"cell_1345","NPOD6009_Head_ROI1",1345,354.3820225,159.1685393,2.1037056,0.34799616,0.3145728,1.4155776,0.2359296,0.25821184,0.48300032,11.438391296,3.1653888,1.540096,3.6175872,0.33685504,0.37093376,7.5169792,2.29376,0.8454144,0.8781824,0.786432,0.4718592,0.2359296,0.52822016,2.78528,1.0092544,1.8743296,0.10092544,0.11206656,1.9202048,0.64028672,1.933312,0.7405568,0.30343168,0.51707904,0.3145728,0.17956864,119.574888448,222.194434048
"cell_1346","NPOD6009_Head_ROI1",1346,494.4756098,156.9268293,2.9884416,0.31719424,0.7667712,5.0003968,0.64618496,1.277952,0.48758784,2.0250624,1.671168,0.45154304,0.26804224,0.2195456,0.524288,8.53671936,1.671168,0.6815744,0.18284544,3.2047104,0.3538944,0.10944512,0.57344,6.356992,0.26804224,0.24379392,0.17104896,0.50003968,2.94912,0.57344,0.9240576,1.343488,0.2195456,2.3658496,0.23199744,0.24379392,53.049622528,97.977106432
"cell_1347","NPOD6009_Head_ROI1",1347,661.7910448,155.8955224,0.8781824,0.1343488,0.11927552,0.7012352,0.34340864,0.10420224,0.35848192,1.998848,2.7000832,0.34340864,0.41811968,0.08978432,0.35848192,3.3554432,1.343488,0.35848192,0.08978432,0.5373952,0.2686976,0.1343488,0.28377088,4.7906816,0.32833536,0.2686976,0.08978432,0.07471104,10.850926592,0.7929856,2.359296,0.851968,0.2686976,0.44761088,0.22413312,0.23855104,97.852260352,178.883330048
"cell_1348","NPOD6009_Head_ROI1",1348,716,155.0344828,1.0682368,0.0688128,0.16121856,0.7798784,0.34471936,0.19529728,0.64356352,3.538944,7.977107456,0.39059456,0.35651584,0.34471936,0.31064064,4.3778048,1.3238272,0.55181312,0.14942208,1.3893632,0.49414144,0.114688,0.31064064,5.8523648,0.1376256,0.19529728,0.31064064,0.08060928,6.6207744,0.58589184,1.1010048,0.51707904,0.46006272,0.46006272,0.25296896,0.27590656,57.954926592,108.955697152
"cell_1349","NPOD6009_Head_ROI1",1349,734.5090909,154.9454545,0.47251456,0.07274496,0.07274496,0.43646976,0.45481984,0.10878976,0.32702464,1.1993088,3.0343168,0.12713984,0.41811968,0.21823488,0.21823488,2.818048,1.0878976,0.5636096,0.18153472,0.58195968,0.43646976,0.054525952,0.21823488,7.018315776,0.18153472,0.12713984,0.16384,0.07274496,6.1800448,0.6750208,0.7995392,0.8388608,0.09109504,0.41811968,0.29097984,0.3997696,61.510057984,114.565382144
